Epoch: 0 | Loss: 1.6752 | Train Accuracy: 13.35 | Test Accuracy: 18.03
Epoch: 1 | Loss: 0.9462 | Train Accuracy: 21.99 | Test Accuracy: 25.11
Epoch: 2 | Loss: 0.7506 | Train Accuracy: 25.77 | Test Accuracy: 26.70
Epoch: 3 | Loss: 0.6888 | Train Accuracy: 27.10 | Test Accuracy: 27.44
Epoch: 4 | Loss: 0.6554 | Train Accuracy: 27.90 | Test Accuracy: 27.91
Epoch: 5 | Loss: 0.6330 | Train Accuracy: 28.47 | Test Accuracy: 28.21
Epoch: 6 | Loss: 0.6170 | Train Accuracy: 28.90 | Test Accuracy: 28.38
Epoch: 7 | Loss: 0.6054 | Train Accuracy: 29.24 | Test Accuracy: 28.54
Epoch: 8 | Loss: 0.5964 | Train Accuracy: 29.52 | Test Accuracy: 28.64
Epoch: 9 | Loss: 0.5892 | Train Accuracy: 29.74 | Test Accuracy: 28.73
Epoch: 10 | Loss: 0.5836 | Train Accuracy: 29.93 | Test Accuracy: 28.78
Epoch: 11 | Loss: 0.5789 | Train Accuracy: 30.10 | Test Accuracy: 28.84
Epoch: 12 | Loss: 0.5750 | Train Accuracy: 30.25 | Test Accuracy: 28.87
Epoch: 13 | Loss: 0.5718 | Train Accuracy: 30.38 | Test Accuracy: 28.90
Epoch: 14 | Loss: 0.5690 | Train Accuracy: 30.47 | Test Accuracy: 28.95
Epoch: 15 | Loss: 0.5667 | Train Accuracy: 30.56 | Test Accuracy: 28.97
Epoch: 16 | Loss: 0.5648 | Train Accuracy: 30.65 | Test Accuracy: 28.98
Epoch: 17 | Loss: 0.5629 | Train Accuracy: 30.74 | Test Accuracy: 29.00
Epoch: 18 | Loss: 0.5614 | Train Accuracy: 30.80 | Test Accuracy: 29.02
Epoch: 19 | Loss: 0.5600 | Train Accuracy: 30.86 | Test Accuracy: 29.04
Epoch: 20 | Loss: 0.5589 | Train Accuracy: 30.90 | Test Accuracy: 29.04
Epoch: 21 | Loss: 0.5578 | Train Accuracy: 30.95 | Test Accuracy: 29.06
Epoch: 22 | Loss: 0.5568 | Train Accuracy: 31.00 | Test Accuracy: 29.08
Epoch: 23 | Loss: 0.5559 | Train Accuracy: 31.04 | Test Accuracy: 29.07
Epoch: 24 | Loss: 0.5551 | Train Accuracy: 31.07 | Test Accuracy: 29.09
Epoch: 25 | Loss: 0.5544 | Train Accuracy: 31.12 | Test Accuracy: 29.09
Epoch: 26 | Loss: 0.5538 | Train Accuracy: 31.14 | Test Accuracy: 29.11
Epoch: 27 | Loss: 0.5531 | Train Accuracy: 31.16 | Test Accuracy: 29.12
Epoch: 28 | Loss: 0.5526 | Train Accuracy: 31.20 | Test Accuracy: 29.10
Epoch: 29 | Loss: 0.5521 | Train Accuracy: 31.22 | Test Accuracy: 29.12
Epoch: 30 | Loss: 0.5516 | Train Accuracy: 31.24 | Test Accuracy: 29.13
Epoch: 31 | Loss: 0.5512 | Train Accuracy: 31.25 | Test Accuracy: 29.13
Epoch: 32 | Loss: 0.5508 | Train Accuracy: 31.27 | Test Accuracy: 29.13
Epoch: 33 | Loss: 0.5504 | Train Accuracy: 31.31 | Test Accuracy: 29.14
Epoch: 34 | Loss: 0.5500 | Train Accuracy: 31.32 | Test Accuracy: 29.14
Epoch: 35 | Loss: 0.5498 | Train Accuracy: 31.34 | Test Accuracy: 29.14
Epoch: 36 | Loss: 0.5494 | Train Accuracy: 31.34 | Test Accuracy: 29.14
Epoch: 37 | Loss: 0.5492 | Train Accuracy: 31.36 | Test Accuracy: 29.15
Epoch: 38 | Loss: 0.5489 | Train Accuracy: 31.37 | Test Accuracy: 29.17
Epoch: 39 | Loss: 0.5486 | Train Accuracy: 31.39 | Test Accuracy: 29.16
Epoch: 40 | Loss: 0.5484 | Train Accuracy: 31.39 | Test Accuracy: 29.17
Epoch: 41 | Loss: 0.5482 | Train Accuracy: 31.41 | Test Accuracy: 29.17
Epoch: 42 | Loss: 0.5479 | Train Accuracy: 31.42 | Test Accuracy: 29.17
Epoch: 43 | Loss: 0.5476 | Train Accuracy: 31.44 | Test Accuracy: 29.17
Epoch: 44 | Loss: 0.5476 | Train Accuracy: 31.44 | Test Accuracy: 29.17
Epoch: 45 | Loss: 0.5472 | Train Accuracy: 31.44 | Test Accuracy: 29.16
Epoch: 46 | Loss: 0.5471 | Train Accuracy: 31.45 | Test Accuracy: 29.18
Epoch: 47 | Loss: 0.5469 | Train Accuracy: 31.47 | Test Accuracy: 29.18
Epoch: 48 | Loss: 0.5468 | Train Accuracy: 31.46 | Test Accuracy: 29.17
Epoch: 49 | Loss: 0.5467 | Train Accuracy: 31.46 | Test Accuracy: 29.16
