Epoch: 0 | Loss: 1.1868 | Train Accuracy: 21.51 | Test Accuracy: 24.69
Epoch: 1 | Loss: 0.7426 | Train Accuracy: 26.20 | Test Accuracy: 25.84
Epoch: 2 | Loss: 0.6591 | Train Accuracy: 28.33 | Test Accuracy: 26.85
Epoch: 3 | Loss: 0.5998 | Train Accuracy: 30.16 | Test Accuracy: 27.55
Epoch: 4 | Loss: 0.5581 | Train Accuracy: 31.66 | Test Accuracy: 28.03
Epoch: 5 | Loss: 0.5271 | Train Accuracy: 32.97 | Test Accuracy: 28.38
Epoch: 6 | Loss: 0.5028 | Train Accuracy: 34.11 | Test Accuracy: 28.60
Epoch: 7 | Loss: 0.4832 | Train Accuracy: 35.15 | Test Accuracy: 28.81
Epoch: 8 | Loss: 0.4672 | Train Accuracy: 36.08 | Test Accuracy: 28.95
Epoch: 9 | Loss: 0.4540 | Train Accuracy: 36.91 | Test Accuracy: 29.11
Epoch: 10 | Loss: 0.4428 | Train Accuracy: 37.66 | Test Accuracy: 29.18
Epoch: 11 | Loss: 0.4335 | Train Accuracy: 38.31 | Test Accuracy: 29.26
Epoch: 12 | Loss: 0.4256 | Train Accuracy: 38.89 | Test Accuracy: 29.31
Epoch: 13 | Loss: 0.4190 | Train Accuracy: 39.42 | Test Accuracy: 29.34
Epoch: 14 | Loss: 0.4133 | Train Accuracy: 39.87 | Test Accuracy: 29.41
Epoch: 15 | Loss: 0.4085 | Train Accuracy: 40.28 | Test Accuracy: 29.45
Epoch: 16 | Loss: 0.4044 | Train Accuracy: 40.64 | Test Accuracy: 29.46
Epoch: 17 | Loss: 0.4008 | Train Accuracy: 40.94 | Test Accuracy: 29.47
Epoch: 18 | Loss: 0.3977 | Train Accuracy: 41.21 | Test Accuracy: 29.50
Epoch: 19 | Loss: 0.3950 | Train Accuracy: 41.47 | Test Accuracy: 29.52
Epoch: 20 | Loss: 0.3926 | Train Accuracy: 41.66 | Test Accuracy: 29.50
Epoch: 21 | Loss: 0.3906 | Train Accuracy: 41.85 | Test Accuracy: 29.54
Epoch: 22 | Loss: 0.3887 | Train Accuracy: 42.02 | Test Accuracy: 29.54
Epoch: 23 | Loss: 0.3871 | Train Accuracy: 42.17 | Test Accuracy: 29.53
Epoch: 24 | Loss: 0.3856 | Train Accuracy: 42.30 | Test Accuracy: 29.54
Epoch: 25 | Loss: 0.3843 | Train Accuracy: 42.42 | Test Accuracy: 29.57
Epoch: 26 | Loss: 0.3831 | Train Accuracy: 42.52 | Test Accuracy: 29.57
Epoch: 27 | Loss: 0.3820 | Train Accuracy: 42.61 | Test Accuracy: 29.55
Epoch: 28 | Loss: 0.3810 | Train Accuracy: 42.71 | Test Accuracy: 29.53
Epoch: 29 | Loss: 0.3801 | Train Accuracy: 42.78 | Test Accuracy: 29.56
Epoch: 30 | Loss: 0.3792 | Train Accuracy: 42.86 | Test Accuracy: 29.55
Epoch: 31 | Loss: 0.3784 | Train Accuracy: 42.93 | Test Accuracy: 29.57
Epoch: 32 | Loss: 0.3777 | Train Accuracy: 42.98 | Test Accuracy: 29.61
Epoch: 33 | Loss: 0.3771 | Train Accuracy: 43.05 | Test Accuracy: 29.59
Epoch: 34 | Loss: 0.3764 | Train Accuracy: 43.09 | Test Accuracy: 29.59
Epoch: 35 | Loss: 0.3759 | Train Accuracy: 43.14 | Test Accuracy: 29.58
Epoch: 36 | Loss: 0.3753 | Train Accuracy: 43.19 | Test Accuracy: 29.59
Epoch: 37 | Loss: 0.3748 | Train Accuracy: 43.24 | Test Accuracy: 29.58
Epoch: 38 | Loss: 0.3743 | Train Accuracy: 43.27 | Test Accuracy: 29.59
Epoch: 39 | Loss: 0.3739 | Train Accuracy: 43.31 | Test Accuracy: 29.59
Epoch: 40 | Loss: 0.3734 | Train Accuracy: 43.34 | Test Accuracy: 29.58
Epoch: 41 | Loss: 0.3730 | Train Accuracy: 43.38 | Test Accuracy: 29.57
Epoch: 42 | Loss: 0.3727 | Train Accuracy: 43.41 | Test Accuracy: 29.59
Epoch: 43 | Loss: 0.3723 | Train Accuracy: 43.44 | Test Accuracy: 29.60
Epoch: 44 | Loss: 0.3720 | Train Accuracy: 43.47 | Test Accuracy: 29.59
Epoch: 45 | Loss: 0.3716 | Train Accuracy: 43.49 | Test Accuracy: 29.59
Epoch: 46 | Loss: 0.3713 | Train Accuracy: 43.52 | Test Accuracy: 29.59
Epoch: 47 | Loss: 0.3710 | Train Accuracy: 43.54 | Test Accuracy: 29.60
Epoch: 48 | Loss: 0.3707 | Train Accuracy: 43.57 | Test Accuracy: 29.63
Epoch: 49 | Loss: 0.3704 | Train Accuracy: 43.60 | Test Accuracy: 29.59
