Epoch: 0 | Loss: 0.9543 | Train Accuracy: 23.52 | Test Accuracy: 26.11
Epoch: 1 | Loss: 0.6916 | Train Accuracy: 26.58 | Test Accuracy: 26.43
Epoch: 2 | Loss: 0.6801 | Train Accuracy: 26.84 | Test Accuracy: 26.67
Epoch: 3 | Loss: 0.6746 | Train Accuracy: 26.95 | Test Accuracy: 26.76
Epoch: 4 | Loss: 0.6721 | Train Accuracy: 27.01 | Test Accuracy: 26.76
Epoch: 5 | Loss: 0.6708 | Train Accuracy: 27.04 | Test Accuracy: 26.80
Epoch: 6 | Loss: 0.6702 | Train Accuracy: 27.03 | Test Accuracy: 26.84
Epoch: 7 | Loss: 0.6697 | Train Accuracy: 27.05 | Test Accuracy: 26.87
Epoch: 8 | Loss: 0.6695 | Train Accuracy: 27.06 | Test Accuracy: 26.80
Epoch: 9 | Loss: 0.6694 | Train Accuracy: 27.06 | Test Accuracy: 26.76
Epoch: 10 | Loss: 0.6692 | Train Accuracy: 27.06 | Test Accuracy: 26.83
Epoch: 11 | Loss: 0.6691 | Train Accuracy: 27.07 | Test Accuracy: 26.78
Epoch: 12 | Loss: 0.6690 | Train Accuracy: 27.06 | Test Accuracy: 26.83
Epoch: 13 | Loss: 0.6691 | Train Accuracy: 27.07 | Test Accuracy: 26.83
Epoch: 14 | Loss: 0.6690 | Train Accuracy: 27.07 | Test Accuracy: 26.88
Epoch: 15 | Loss: 0.6691 | Train Accuracy: 27.05 | Test Accuracy: 26.83
Epoch: 16 | Loss: 0.6690 | Train Accuracy: 27.08 | Test Accuracy: 26.78
Epoch: 17 | Loss: 0.6692 | Train Accuracy: 27.07 | Test Accuracy: 26.80
Epoch: 18 | Loss: 0.6690 | Train Accuracy: 27.07 | Test Accuracy: 26.77
Epoch: 19 | Loss: 0.6691 | Train Accuracy: 27.09 | Test Accuracy: 26.84
Epoch: 20 | Loss: 0.6691 | Train Accuracy: 27.08 | Test Accuracy: 26.85
Epoch: 21 | Loss: 0.6693 | Train Accuracy: 27.07 | Test Accuracy: 26.85
Epoch: 22 | Loss: 0.6693 | Train Accuracy: 27.06 | Test Accuracy: 26.83
Epoch: 23 | Loss: 0.6692 | Train Accuracy: 27.06 | Test Accuracy: 26.84
Epoch: 24 | Loss: 0.6693 | Train Accuracy: 27.06 | Test Accuracy: 26.81
Epoch: 25 | Loss: 0.6694 | Train Accuracy: 27.05 | Test Accuracy: 26.84
Epoch: 26 | Loss: 0.6692 | Train Accuracy: 27.07 | Test Accuracy: 26.85
Epoch: 27 | Loss: 0.6693 | Train Accuracy: 27.07 | Test Accuracy: 26.82
Epoch: 28 | Loss: 0.6693 | Train Accuracy: 27.07 | Test Accuracy: 26.81
Epoch: 29 | Loss: 0.6692 | Train Accuracy: 27.06 | Test Accuracy: 26.81
Epoch: 30 | Loss: 0.6690 | Train Accuracy: 27.07 | Test Accuracy: 26.85
Epoch: 31 | Loss: 0.6692 | Train Accuracy: 27.08 | Test Accuracy: 26.79
Epoch: 32 | Loss: 0.6690 | Train Accuracy: 27.06 | Test Accuracy: 26.81
Epoch: 33 | Loss: 0.6690 | Train Accuracy: 27.06 | Test Accuracy: 26.86
Epoch: 34 | Loss: 0.6690 | Train Accuracy: 27.07 | Test Accuracy: 26.88
Epoch: 35 | Loss: 0.6690 | Train Accuracy: 27.06 | Test Accuracy: 26.87
Epoch: 36 | Loss: 0.6690 | Train Accuracy: 27.06 | Test Accuracy: 26.83
Epoch: 37 | Loss: 0.6689 | Train Accuracy: 27.08 | Test Accuracy: 26.87
Epoch: 38 | Loss: 0.6690 | Train Accuracy: 27.08 | Test Accuracy: 26.82
Epoch: 39 | Loss: 0.6689 | Train Accuracy: 27.06 | Test Accuracy: 26.79
Epoch: 40 | Loss: 0.6688 | Train Accuracy: 27.08 | Test Accuracy: 26.77
Epoch: 41 | Loss: 0.6689 | Train Accuracy: 27.07 | Test Accuracy: 26.83
Epoch: 42 | Loss: 0.6689 | Train Accuracy: 27.07 | Test Accuracy: 26.82
Epoch: 43 | Loss: 0.6688 | Train Accuracy: 27.07 | Test Accuracy: 26.86
Epoch: 44 | Loss: 0.6688 | Train Accuracy: 27.07 | Test Accuracy: 26.84
Epoch: 45 | Loss: 0.6688 | Train Accuracy: 27.07 | Test Accuracy: 26.85
Epoch: 46 | Loss: 0.6688 | Train Accuracy: 27.06 | Test Accuracy: 26.86
Epoch: 47 | Loss: 0.6689 | Train Accuracy: 27.07 | Test Accuracy: 26.85
Epoch: 48 | Loss: 0.6689 | Train Accuracy: 27.07 | Test Accuracy: 26.84
Epoch: 49 | Loss: 0.6688 | Train Accuracy: 27.08 | Test Accuracy: 26.80
