Epoch: 0 | Loss: 2.0696 | Train Accuracy: 11.83 | Test Accuracy: 13.40
Epoch: 1 | Loss: 1.2135 | Train Accuracy: 18.97 | Test Accuracy: 22.33
Epoch: 2 | Loss: 0.8422 | Train Accuracy: 24.26 | Test Accuracy: 24.85
Epoch: 3 | Loss: 0.7432 | Train Accuracy: 26.13 | Test Accuracy: 25.93
Epoch: 4 | Loss: 0.7009 | Train Accuracy: 27.03 | Test Accuracy: 26.49
Epoch: 5 | Loss: 0.6758 | Train Accuracy: 27.58 | Test Accuracy: 26.81
Epoch: 6 | Loss: 0.6568 | Train Accuracy: 27.98 | Test Accuracy: 27.05
Epoch: 7 | Loss: 0.6415 | Train Accuracy: 28.33 | Test Accuracy: 27.21
Epoch: 8 | Loss: 0.6286 | Train Accuracy: 28.62 | Test Accuracy: 27.38
Epoch: 9 | Loss: 0.6177 | Train Accuracy: 28.88 | Test Accuracy: 27.51
Epoch: 10 | Loss: 0.6082 | Train Accuracy: 29.10 | Test Accuracy: 27.59
Epoch: 11 | Loss: 0.6001 | Train Accuracy: 29.31 | Test Accuracy: 27.67
Epoch: 12 | Loss: 0.5928 | Train Accuracy: 29.49 | Test Accuracy: 27.75
Epoch: 13 | Loss: 0.5865 | Train Accuracy: 29.65 | Test Accuracy: 27.82
Epoch: 14 | Loss: 0.5807 | Train Accuracy: 29.80 | Test Accuracy: 27.86
Epoch: 15 | Loss: 0.5755 | Train Accuracy: 29.93 | Test Accuracy: 27.88
Epoch: 16 | Loss: 0.5709 | Train Accuracy: 30.05 | Test Accuracy: 27.92
Epoch: 17 | Loss: 0.5667 | Train Accuracy: 30.16 | Test Accuracy: 27.95
Epoch: 18 | Loss: 0.5629 | Train Accuracy: 30.27 | Test Accuracy: 27.96
Epoch: 19 | Loss: 0.5595 | Train Accuracy: 30.36 | Test Accuracy: 28.02
Epoch: 20 | Loss: 0.5564 | Train Accuracy: 30.45 | Test Accuracy: 28.00
Epoch: 21 | Loss: 0.5536 | Train Accuracy: 30.54 | Test Accuracy: 28.03
Epoch: 22 | Loss: 0.5510 | Train Accuracy: 30.61 | Test Accuracy: 28.03
Epoch: 23 | Loss: 0.5487 | Train Accuracy: 30.68 | Test Accuracy: 28.07
Epoch: 24 | Loss: 0.5466 | Train Accuracy: 30.74 | Test Accuracy: 28.08
