# time python3 neural_net_simple.py --num_epochs=25 --batch_size=512 --learning_rate=1e-3 --embedding_dim=128
Epoch: 0 | Loss: 0.7762 | Train Accuracy: 25.33 | Test Accuracy: 25.91
Epoch: 1 | Loss: 0.7426 | Train Accuracy: 26.09 | Test Accuracy: 25.74
Epoch: 2 | Loss: 0.7379 | Train Accuracy: 26.25 | Test Accuracy: 26.42
Epoch: 3 | Loss: 0.7354 | Train Accuracy: 26.35 | Test Accuracy: 26.19
Epoch: 4 | Loss: 0.7336 | Train Accuracy: 26.42 | Test Accuracy: 26.30
Epoch: 5 | Loss: 0.7316 | Train Accuracy: 26.49 | Test Accuracy: 26.42
Epoch: 6 | Loss: 0.7214 | Train Accuracy: 26.77 | Test Accuracy: 26.51
Epoch: 7 | Loss: 0.6830 | Train Accuracy: 27.72 | Test Accuracy: 26.60
Epoch: 8 | Loss: 0.6282 | Train Accuracy: 29.07 | Test Accuracy: 26.38
Epoch: 9 | Loss: 0.5706 | Train Accuracy: 30.72 | Test Accuracy: 26.50
Epoch: 10 | Loss: 0.5194 | Train Accuracy: 32.46 | Test Accuracy: 26.54
Epoch: 11 | Loss: 0.4766 | Train Accuracy: 34.24 | Test Accuracy: 26.33
Epoch: 12 | Loss: 0.4411 | Train Accuracy: 35.97 | Test Accuracy: 26.19
Epoch: 13 | Loss: 0.4115 | Train Accuracy: 37.65 | Test Accuracy: 26.08
Epoch: 14 | Loss: 0.3867 | Train Accuracy: 39.24 | Test Accuracy: 26.13
Epoch: 15 | Loss: 0.3658 | Train Accuracy: 40.72 | Test Accuracy: 26.16
Epoch: 16 | Loss: 0.3480 | Train Accuracy: 42.12 | Test Accuracy: 25.84
Epoch: 17 | Loss: 0.3327 | Train Accuracy: 43.39 | Test Accuracy: 25.57
Epoch: 18 | Loss: 0.3197 | Train Accuracy: 44.56 | Test Accuracy: 25.90
Epoch: 19 | Loss: 0.3084 | Train Accuracy: 45.63 | Test Accuracy: 25.87
Epoch: 20 | Loss: 0.2986 | Train Accuracy: 46.60 | Test Accuracy: 25.85
Epoch: 21 | Loss: 0.2900 | Train Accuracy: 47.48 | Test Accuracy: 25.62
Epoch: 22 | Loss: 0.2825 | Train Accuracy: 48.30 | Test Accuracy: 25.74
Epoch: 23 | Loss: 0.2758 | Train Accuracy: 49.03 | Test Accuracy: 25.81
Epoch: 24 | Loss: 0.2698 | Train Accuracy: 49.70 | Test Accuracy: 25.73
