# time python3 neural_net_ff.py --num_epochs=25 --batch_size=512 --learning_rate=1e-3 --embedding_dim=128 --dropout=0.25
Epoch: 0 | Loss: 1.1255 | Train Accuracy: 13.00 | Test Accuracy: 14.29
Epoch: 1 | Loss: 1.0198 | Train Accuracy: 18.95 | Test Accuracy: 23.18
Epoch: 2 | Loss: 0.9011 | Train Accuracy: 21.60 | Test Accuracy: 25.33
Epoch: 3 | Loss: 0.8475 | Train Accuracy: 22.63 | Test Accuracy: 26.12
Epoch: 4 | Loss: 0.8179 | Train Accuracy: 23.26 | Test Accuracy: 26.57
Epoch: 5 | Loss: 0.7949 | Train Accuracy: 23.73 | Test Accuracy: 26.96
Epoch: 6 | Loss: 0.7763 | Train Accuracy: 24.13 | Test Accuracy: 27.20
Epoch: 7 | Loss: 0.7606 | Train Accuracy: 24.48 | Test Accuracy: 27.47
Epoch: 8 | Loss: 0.7468 | Train Accuracy: 24.77 | Test Accuracy: 27.64
Epoch: 9 | Loss: 0.7350 | Train Accuracy: 25.05 | Test Accuracy: 27.71
Epoch: 10 | Loss: 0.7246 | Train Accuracy: 25.28 | Test Accuracy: 27.79
Epoch: 11 | Loss: 0.7156 | Train Accuracy: 25.50 | Test Accuracy: 27.92
Epoch: 12 | Loss: 0.7076 | Train Accuracy: 25.72 | Test Accuracy: 28.03
Epoch: 13 | Loss: 0.7002 | Train Accuracy: 25.90 | Test Accuracy: 28.04
Epoch: 14 | Loss: 0.6937 | Train Accuracy: 26.08 | Test Accuracy: 28.05
Epoch: 15 | Loss: 0.6876 | Train Accuracy: 26.24 | Test Accuracy: 28.08
Epoch: 16 | Loss: 0.6827 | Train Accuracy: 26.38 | Test Accuracy: 28.14
Epoch: 17 | Loss: 0.6772 | Train Accuracy: 26.53 | Test Accuracy: 28.21
Epoch: 18 | Loss: 0.6729 | Train Accuracy: 26.66 | Test Accuracy: 28.26
Epoch: 19 | Loss: 0.6688 | Train Accuracy: 26.78 | Test Accuracy: 28.23
Epoch: 20 | Loss: 0.6654 | Train Accuracy: 26.90 | Test Accuracy: 28.27
Epoch: 21 | Loss: 0.6618 | Train Accuracy: 27.00 | Test Accuracy: 28.27
Epoch: 22 | Loss: 0.6588 | Train Accuracy: 27.09 | Test Accuracy: 28.28
Epoch: 23 | Loss: 0.6559 | Train Accuracy: 27.18 | Test Accuracy: 28.34
Epoch: 24 | Loss: 0.6534 | Train Accuracy: 27.27 | Test Accuracy: 28.35
